# day number, height (in meters)
0.00E+00,3.61E-01
1.02E+00,6.04E-01
2.03E+00,6.43E-01
3.05E+00,7.50E-01
4.07E+00,8.34E-01
5.08E+00,1.09E+00
6.10E+00,1.12E+00
7.12E+00,1.34E+00
8.14E+00,1.59E+00
9.15E+00,1.87E+00
1.02E+01,2.19E+00
1.12E+01,2.57E+00
1.22E+01,2.79E+00
1.32E+01,3.24E+00
1.42E+01,3.70E+00
1.53E+01,4.01E+00
1.63E+01,4.41E+00
1.73E+01,4.76E+00
1.83E+01,5.07E+00
1.93E+01,5.42E+00
2.03E+01,5.75E+00
2.14E+01,6.06E+00
2.24E+01,6.24E+00
2.34E+01,6.45E+00
2.44E+01,6.79E+00
2.54E+01,6.83E+00
2.64E+01,7.10E+00
2.75E+01,7.18E+00
2.85E+01,7.30E+00
2.95E+01,7.31E+00
3.05E+01,7.42E+00
3.15E+01,7.45E+00
3.25E+01,7.58E+00
3.36E+01,7.64E+00
3.46E+01,7.81E+00
3.56E+01,7.82E+00
3.66E+01,7.97E+00
3.76E+01,8.09E+00
3.86E+01,8.13E+00
3.97E+01,8.27E+00
4.07E+01,8.35E+00
4.17E+01,8.40E+00
4.27E+01,8.53E+00
4.37E+01,8.68E+00
4.47E+01,8.80E+00
4.58E+01,8.88E+00
4.68E+01,8.90E+00
4.78E+01,8.91E+00
4.88E+01,9.08E+00
4.98E+01,9.10E+00
5.08E+01,9.13E+00
5.19E+01,9.28E+00
5.29E+01,9.29E+00
5.39E+01,9.32E+00
5.49E+01,9.32E+00
5.59E+01,9.45E+00
5.69E+01,9.48E+00
5.80E+01,9.49E+00
5.90E+01,9.51E+00
6.00E+01,9.52E+00
